r_start [cm] , z_start [cm] , r_end [cm] , t_end [us] , E_start [V/cm], Er_start [V/cm] , Ez_start [V/cm]
0.5,0,NaN,NaN,781.29,85.302,776.62
0.5,1,0.48198,318,88.264,-1.5286,-88.251
0.5,2,0.48689,310,87.358,0.061669,-87.358
0.5,3,0.48535,303,88.18,0.29318,-88.179
0.5,4,0.48422,295,89.623,0.4199,-89.622
0.5,5,0.48749,290,91.518,0.52604,-91.517
0.5,6,0.48267,280,93.817,0.62568,-93.815
0.5,7,0.48721,274,96.511,0.71699,-96.508
0.5,8,0.48735,265,99.569,0.80953,-99.566
0.5,9,0.48255,258,102.98,0.89438,-102.98
0.5,10,0.48615,253,106.74,0.97856,-106.73
0.5,11,0.49199,243,110.81,1.0567,-110.8
0.5,12,0.49113,236,115.2,1.133,-115.19
0.5,13,0.48966,229,119.88,1.2085,-119.87
0.5,14,0.48869,222,124.84,1.2784,-124.84
0.5,15,0.48927,215,130.09,1.3475,-130.08
0.5,16,0.49093,208,135.6,1.4098,-135.59
0.5,17,0.4934,201,141.35,1.4706,-141.34
0.5,18,0.49488,194,147.36,1.5333,-147.35
0.5,19,0.4878,190,153.6,1.5908,-153.59
0.5,20,0.48497,181,160.09,1.6488,-160.08
0.5,21,0.48601,174,166.8,1.7068,-166.79
0.5,22,0.49372,167,173.74,1.7628,-173.73
0.5,23,0.48712,163,180.9,1.8194,-180.89
0.5,24,0.48548,154,188.28,1.8744,-188.27
0.5,25,0.49332,147,195.87,1.9214,-195.86
0.5,26,0.48592,141,203.67,1.973,-203.66
0.5,27,0.49182,134,211.67,2.0209,-211.66
0.5,28,0.48621,128,219.83,2.0635,-219.82
0.5,29,0.49139,121,228.17,2.1012,-228.16
0.5,30,0.48691,115,236.64,2.1336,-236.63
0.5,31,0.4865,111,245.23,2.1586,-245.22
0.5,32,0.49,102,253.9,2.1734,-253.89
0.5,33,0.48793,96,262.61,2.1788,-262.6
0.5,34,0.48738,90,271.31,2.173,-271.31
0.5,35,0.48714,87,279.96,2.1476,-279.95
0.5,36,0.48682,77,288.49,2.1125,-288.48
0.5,37,0.48661,71,296.84,2.0566,-296.83
0.5,38,0.48622,65,304.92,1.9836,-304.92
0.5,39,0.48565,59,312.68,1.8851,-312.67
0.5,40,0.48506,53,320.01,1.7761,-320.01
0.5,41,0.48464,47,326.83,1.64,-326.82
0.5,42,0.4842,41,333.06,1.4721,-333.06
0.5,43,0.48446,35,338.61,1.2967,-338.61
0.5,44,0.48537,29,343.39,1.0917,-343.39
0.5,45,0.48683,25,347.28,0.84872,-347.28
0.5,46,0.48764,18,350.08,0.51011,-350.08
0.5,47,0.48739,12,350.91,-0.48102,-350.91
0.5,48,0.48648,6,350.84,-11.591,-350.64
0.5,49,0.50065,1,3584.9,-14.819,-3584.8
1.5,0,NaN,NaN,777.38,31.152,776.76
1.5,1,1.0001,319,86.009,-0.16298,-86.009
1.5,2,0.97789,311,86.843,0.48229,-86.842
1.5,3,0.99246,304,87.913,0.92287,-87.908
1.5,4,0.99193,296,89.41,1.2682,-89.401
1.5,5,0.9815,288,91.329,1.5845,-91.315
1.5,6,0.99255,281,93.641,1.8797,-93.622
1.5,7,0.97488,273,96.349,2.1554,-96.325
1.5,8,0.99261,265,99.419,2.4311,-99.389
1.5,9,0.98699,258,102.84,2.6915,-102.81
1.5,10,0.99082,251,106.61,2.9416,-106.57
1.5,11,1.0061,243,110.7,3.1789,-110.65
1.5,12,1.0043,236,115.09,3.4035,-115.04
1.5,13,0.99863,229,119.78,3.622,-119.73
1.5,14,0.99377,222,124.77,3.8325,-124.71
1.5,15,0.99393,215,130.01,4.0346,-129.95
1.5,16,0.99522,208,135.53,4.2278,-135.46
1.5,17,0.99745,201,141.29,4.4143,-141.22
1.5,18,0.99702,194,147.3,4.5952,-147.23
1.5,19,0.99283,187,153.55,4.7729,-153.48
1.5,20,0.99153,183,160.04,4.9482,-159.96
1.5,21,0.99249,174,166.76,5.1203,-166.68
1.5,22,0.98654,167,173.7,5.289,-173.62
1.5,23,0.98893,160,180.86,5.4545,-180.78
1.5,24,0.99273,154,188.25,5.6164,-188.17
1.5,25,0.98143,147,195.85,5.7717,-195.77
1.5,26,0.99574,141,203.65,5.9224,-203.57
1.5,27,0.97834,134,211.65,6.0649,-211.56
1.5,28,0.99045,128,219.83,6.1942,-219.74
1.5,29,1.0086,122,228.17,6.3087,-228.09
1.5,30,0.99239,116,236.66,6.4073,-236.57
1.5,31,0.99533,111,245.26,6.4826,-245.18
1.5,32,1.4944,107,253.95,6.5294,-253.87
1.5,33,1.4937,97,262.68,6.546,-262.6
1.5,34,1.4944,90,271.41,6.5238,-271.33
1.5,35,1.4887,84,280.09,6.4612,-280.01
1.5,36,1.4933,81,288.65,6.3493,-288.58
1.5,37,1.5015,71,297.02,6.1845,-296.96
1.5,38,1.504,65,305.14,5.9617,-305.08
1.5,39,1.5041,59,312.94,5.6796,-312.88
